caugt,caught
tasble,table
tecnique,technique
tecniques,techniques
tempory,temporary
hte,the
thi,the
thw,the
ther,their
thier,their
thear,there
therefoe,therefore
therefor,therefore
thermawere,thermawear
thermawhere,thermawear
thees,these
thess,these
thay,they
thorts,thoughts
throut,through
throuout,throughout
timeing,timing
tittles,titles
ro,to
togehter,together
totaly,totally
traditionaly,traditionally
trasactions,transactions
transfred,transferred
transportibility,transportability
triangulaur,triangular
umberalla,umbrella
unavailble,unavailable
understadable,understandable
unequaled,unequalled
unequivocaly,unequivocally
unfortunatly,unfortunately
unioun,union
uneque,unique
universaly,universally
unversity,university
unessasarily,unnecessarily
unessessay,unnecessary
unresloved,unresolved
untill,until
usedf,used
usful,useful
uers,user
usualy,usually
utalised,utilized
valubale,valuable
valuble,valuable
vaiable,variable
varable,variable
varible,variable
vairiant,variant
variatry,variety
vairious,various
vertually,virtually
vistor,visitor
vistors,visitors
volantary,voluntary
volantry,voluntary
voteing,voting
wepons,weapons
wagted,weighted
wer,were
where,were
whn,when
wheras,whereas
wether,whether
widly,widely
wil,will
withing,within
whould,would
writen,written
yesars,years
abilIty,ability
abbility,ability
abilaty,ability
abLE,able
abel,able
abOArd,aboard
aboUt,about
abot,about
abowt,about
abOve,above
abrOAd,abroad
abrod,abroad
absenCE,absence
absents,absence
absense,absence
aBsent,absent
abSent,absent
apsent,absent
absolutEly,absolutely
absolutly,absolutely
absURD,absurd
abserd,absurd
abUndance,abundance
abundAnce,abundance
abundence,abundance
abUndant,abundant
abundAnt,abundant
abundent,abundant
abUse,abuse
abouse,abuse
ACcept,accept
except,accept
axcept,accept
aCCeptance,acceptance
acceptAnce,acceptance
acceptence,acceptance
aCcepted,accepted
excepted,accepted
ACcident,accident
acCIdent,accident
axcident,accident
accomMOdate,accommodate
accomodate,accommodate
accomMOdation,accommodation
accomodation,accommodation
aCCompanied,accompanied
accompanIEd,accompanied
acompanied,accompanied
aCCompany,accompany
acompany,accompany
aCComplish,accomplish
acomplish,accomplish
aCCordance,accordance
accordAnce,accordance
accordence,accordance
aCCording,according
acording,according
aCCordingly,accordingly
acordingly,accordingly
aCCount,account
acount,account
aCCurate,accurate
accurATE,accurate
acurate,accurate
acCUstomed,accustomed
accustOmed,accustomed
acustomed,accustomed
accustumed,accustomed
aCHe,ache
acke,ache
ake,ache
acknoWledge,acknowledge
acknoledge,acknowledge
aCquaintence,acquaintance
acquAIntance,acquaintance
acquaintAnce,acquaintance
accquaintence,acquaintance
aCQuainted,acquainted
aquainted,acquainted
aCquire,acquire
aquire,acquire
aCRE,acre
acer,acre
acher,acre
acROSS,across
acros,across
acroos,across
aCt,act
akt,act
at,act
aCTION,action
aCTive,active
acttive,active
actuall,actual
actural,actual
actUAlly,actually
actualLy,actually
actualy,actually
aDD,add
ade,add
ad,add
addItion,addition
addiTIon,addition
addtion,addition
addiTIONal,additional
addional,additional
aDDress,address
adress,address
aDDressed,addressed
adressed,addressed
aDDresses,addresses
adresses,addresses
aDjust,adjust
ajust,adjust
aDministration,administration
addministration,administration
aDmire,admire
admirE,admire
addmire,admire
aDmission,admission
addmission,admission
admit%,admit
admite,admit
adoPt,adopt
adobt,adopt
aDOPted,adopted
addopted,adopted
aDvance,advance
addvance,advance
advanCed,advanced
advansed,advanced
advanTAge,advantage
advanage,advantage
aDventure,adventure
advenTURE,adventure
aventure,adventure
advERtise,advertise
advertiSe,advertise
advitise,advertise
advertize,advertise
advertiSEment,advertisement
advertisment,advertisement
advertis%ing,advertising
advertiseing,advertising
adviCe,advice
advise,advice
adviSAble,advisable
advisible,advisable
adviseable,advisable
adviSe,advise
advice,advise
adviSed,advised
adviced,advised
afFAir,affair
afair,affair
Affect,affect
effect,affect
Affection,affection
afFection,affection
afection,affection
afFectionate,affectionate
affectionATE,affectionate
affectionet,affectionate
affectionatELY,affectionately
affectionatly,affectionately
afFord,afford
aford,afford
afrAId,afraid
afriad,afraid
aftER,after
aftr,after
afternon,afternoon
afterwARds,afterwards
afterwoods,afterwards
agAIn,again
agan,again
agAInst,against
aganst,against
agenst,against
agE,age
ag,age
agen%cy,agency
agencY,agency
agentcy,agency
agEnt,agent
agant,agent
Ago,ago
ogo,ago
go,ago
agrEE,agree
agre,agree
agrEEable,agreeable
agreable,agreeable
aGreed,agreed
agrEEd,agreed
aggreed,agreed
aGreement,agreement
agrEEment,agreement
aggreement,agreement
agrIculture,agriculture
agraculture,agriculture
ahEAd,ahead
aheard,ahead
ahade,ahead
aId,aid
aid%,aid
ade,aid
aIm,aim
aim%,aim
ame,aim
aIr,air
air%,air
are,air
aer,air
ar,air
airplAne,airplane
airplanE,airplane
airplan,airplane
a%larm,alarm
alaRm,alarm
arlarm,alarm
alam,alarm
alCOHOl,alcohol
alchohol,alcohol
alcohal,alcohol
alFalfa,alfalfa
alfalfA,alfalfa
alphalpha,alfalfa
algEbra,algebra
algerbra,algebra
aliKE,alike
alick,alike
alIve,alive
alivE,alive
aliv,alive
alave,alive
aLLow,allow
alow,allow
allowAnce,allowance
allowence,allowance
aLLowed,allowed
alloWEd,allowed
aloud,allowed
alowed,allowed
alloud,allowed
aLmost,almost
allmost,almost
alonE,alone
alon,alone
alONg,along
alog,along
aling,along
aLready,already
allready,already
aLso,also
allso,also
aLthough,although
althouGH,although
allthough,although
alTITude,altitude
altude,altitude
alltitude,altitude
aLtogether,altogether
alltogether,altogether
aLways,always
allways,always
aM,am
an,am
ambiTION,ambition
ambision,ambition
ambishion,ambition
aMendment,amendment
ammendment,amendment
amerICA,america
ameraca,america
amerIcan,american
americAN,american
ameracan,american
aMMunition,ammunition
amunition,ammunition
amOng,among
amoung,among
amOUNt,amount
amont,amount
oment,amount
ampLE,ample
ampull,ample
ampile,ample
aMUSE,amuse
ammuse,amuse
amusEment,amusement
amusment,amusement
and,an
analYsis,analysis
analysIs,analysis
analisis,analysis
analyses,analysis
analYze,analyze
analize,analyze
analyse,analyze
ancIEnt,ancient
acient,ancient
anceint,ancient
anD,and
an,and
angEL,angel
angle,angel
angLE,angle
angel,angle
ang%ry,angry
angrY,angry
angery,angry
anImal,animal
animAl,animal
anamal,animal
ankLE,ankle
ankel,ankle
anNiversary,anniversary
annIversary,anniversary
anniversAry,anniversary
anniversery,anniversary
aniversary,anniversary
anNounce,announce
anounce,announce
anNouncement,announcement
announCEment,announcement
anouncement,announcement
aNNual,annual
anual,annual
anOther,another
anther,another
anather,another
ansWer,answer
anser,answer
ancer,answer
ansewer,answer
ansWered,answered
answerEd,answered
answerd,answered
ansered,answered
ansWering,answering
ansering,answering
ansewering,answering
antiCIpate,anticipate
antisipate,anticipate
anxIous,anxious
anxous,anxious
Any,any
eny,any
Anybody,anybody
enybody,anybody
anYhow,anyhow
anyhOW,anyhow
Anyone,anyone
enyone,anyone
Anything,anything
anYthing,anything
Anyway,anyway
enyway,anyway
anywHere,anywhere
anywere,anywhere
aPart,apart
appart,apart
aPARTment,apartment
aPologize,apologize
apolOgize,apologize
apologiZe,apologize
apoligize,apologize
apologise,apologize
apologies,apologize
aPology,apology
apolOgy,apology
apoligy,apology
aPParatus,apparatus
aparatus,apparatus
apparEntly,apparently
apparantly,apparently
aPPeal,appeal
apeal,appeal
aPPear,appear
appEAR,appear
apear,appear
apper,appear
appEArance,appearance
appearAnce,appearance
apperance,appearance
appearence,appearance
appEAred,appeared
appearEd,appeared
appeard,appeared
appered,appeared
appear%s,appears
appeares,appears
aPPendicitis,appendicitis
appendicitIs,appendicitis
appendicitus,appendicitis
appEtite,appetite
appitite,appetite
aPPLE,apple
aple,apple
appel,apple
aPPles,apples
appLEs,apples
appls,apples
applIcation,application
applacation,application
aplication,application
applIEd,applied
applyed,applied
aPPly,apply
aply,apply
aPPoint,appoint
apoint,appoint
aPPOInted,appointed
apointed,appointed
aPPOIntment,appointment
apointment,appointment
aPPreciate,appreciate
apprecIate,appreciate
appricate,appreciate
apreciate,appreciate
aPPreciated,appreciated
apprecIAted,appreciated
apreciated,appreciated
apPreciation,appreciation
apprecIAtion,appreciation
apreciation,appreciation
approAch,approach
approch,approach
appropRiate,appropriate
appropiate,appropriate
approvAl,approval
approvel,approval
apProve,approve
aprove,approve
apRIl,april
apirl,april
apROn,apron
ar,are
arEn't,aren't
arn't,aren't
argu%ment,argument
arguement,argument
aRise,arise
arrise,arise
arithmEtic,arithmetic
arithmatic,arithmetic
arM,arm
arn,arm
arMY,army
armey,army
aray,army
aroUnd,around
arond,around
aRouse,arouse
arrouse,arouse
arRange,arrange
arange,arrange
arRanged,arranged
aranged,arranged
arrangEment,arrangement
arrangment,arrangement
arRest,arrest
arest,arrest
arRival,arrival
arrivAL,arrival
arival,arrival
arrivial,arrival
arRive,arrive
arive,arrive
arRived,arrived
arrIved,arrived
arived,arrived
arRow,arrow
arow,arrow
Art,art
art%,art
arte,art
ort,art
articLE,article
artical,article
arctical,article
articLEs,articles
articals,articles
artificIal,artificial
artifical,artificial
artIst,artist
artest,artist
ashamED,ashamed
ashame,ashamed
aSHES,ashes
ashis,ashes
ashers,ashes
aSide,aside
asiDE,aside
addise,aside
aSK,ask
ack,ask
aske,ask
askED,asked
askt,asked
aSKing,asking
ask%ing,asking
askeing,asking
aslep,asleep
asSembly,assembly
assembLY,assembly
asemnly,assembly
asSist,assist
asist,assist
asSistance,assistance
assiStance,assistance
assitance,assistance
assiStant,assistant
assisstant,assistant
asSociate,associate
assoCIAte,associate
associate,associate
asSociation,association
assoCIAtion,association
assocation,association
aSSUME,assume
asume,assume
assoon,assume
aSSure,assure
asure,assure
aSSUREd,assured
asured,assured
astonISH,astonish
aTE,ate
aet,ate
ath%letic,athletic
atheletic,athletic
ath%letics,athletics
atheletics,athletics
atmosPHere,atmosphere
atmospherE,atmosphere
atmosfere,atmosphere
atmospher,atmosphere
attach%,attach
attache,attach
aTTached,attached
attaCHed,attached
atached,attached
attaCK,attack
attach,attack
atTacked,attacked
attaCKed,attacked
atacked,attacked
atTempt,attempt
attemPT,attempt
atempt,attempt
atTend,attend
atend,attend
attendANCE,attendance
attendence,attendance
atTended,attended
attenDed,attended
atended,attended
attened,attended
atTending,attending
atending,attending
attENtion,attention
attenTIon,attention
atTic,attic
atic,attic
atTitude,attitude
atitude,attitude
attOrney,attorney
attornEy,attorney
atTraction,attraction
atraction,attraction
atTractive,attractive
attractIVE,attractive
atractive,attractive
aUdience,audience
audiEnce,audience
ordiance,audience
audiance,audience
augUst,august
augest,august
agust,august
aUnt,aunt
ant,aunt
authOr,author
auther,author
aUthority,authority
authorIty,authority
athority,authority
outo,auto
ato,auto
oto,auto
automObile,automobile
automobIle,automobile
automible,automobile
automoble,automobile
autuMN,autumn
autum,autumn
avAIlable,available
availAble,available
avalable,available
avenUE,avenue
aveune,avenue
avenew,avenue
avErage,average
avarage,average
avOId,avoid
avoid%,avoid
aviod,avoid
avoide,avoid
awAIt,await
await%,await
awate,await
awAITing,awaiting
awakE,awake
awak,awake
awak,awake
aWARE,aware
awear,aware
aWay,away
auay,away
aWful,awful
aWfully,awfully
awfULLy,awfully
aufully,awfully
awfuly,awfully
awHile,awhile
awile,awhile
aWkward,awkward
akward,awkward
ackward,awkward
ox,ax
ask,ax
babIEs,babies
babys,babies
babY,baby
babe,baby
baba,baby
bachElor,bachelor
bachlor,bachelor
bACK,back
bake,back
bak,back
backwARds,backwards
backwoods,backwards
backwords,backwards
baCOn,bacon
baken,bacon
backen,bacon
bAd,bad
bed,bad
baDge,badge
bage,badge
badLY,badly
badle,badly
badley,badly
bAg,bag
baGGage,baggage
bagage,baggage
bAgs,bags
bogs,bags
baKE,bake
back,bake
bak%ing,baking
bakeing,baking
bAlance,balance
balAnce,balance
balence,balance
blance,balance
bALL,ball
boll,ball
bal,ball
bALLOOn,balloon
bloon,balloon
ballon,balloon
ballOT,ballot
ballet,ballot
baNana,banana
banAna,banana
banna,banana
bannana,banana
bAnd,band
bend,band
bande,band
bandAge,bandage
bandge,bandage
baNK,bank
baNNer,banner
bannER,banner
baner,banner
bannar,banner
banQUEt,banquet
banquet%,banquet
banquete,banquet
bankquet,banquet
bARE,bare
bear,bare
bargAIn,bargain
bargin,bargain
bArk,bark
barlEY,barley
barly,barley
bARn,barn
bran,barn
barrEL,barrel
barrle,barrel
baSE,base
bace,base
baSEball,baseball
baceball,baseball
basball,baseball
basEment,basement
basment,basement
baSHful,bashful
basful,bashful
bashfull,bashful
baSin,basin
basIn,basin
bassin,basin
basIs,basis
bases,basis
baSKet,basket
baskEt,basket
baskETball,basketball
baskball,basketball
baskitball,basketball
bAt,bat
bat%,bat
bate,bat
bet,bat
baTH,bath
bath%,bath
bathE,bathe
bath,bathe
baTHing,bathing
batheing,bathing
battEry,battery
batterY,battery
batery,battery
baTTle,battle
battLE,battle
batle,battle
battel,battle
baY,bay
bE,be
bee,be
bEAch,beach
beech,beach
bEAd,bead
beed,bead
bEAn,bean
ben,bean
been,bean
bEAr,bear
bear%,bear
bare,bear
bar,bear
bear%d,beard
beared,beard
bEAst,beast
best,beast
bEAt,beat
beet,beat
bet,beat
bEAUtiful,beautiful
beautIful,beautiful
bEAUty,beauty
beuty,beauty
bueaty,beauty
becamE,became
becam,became
becAUse,because
becuse,because
becose,because
becomE,become
becom,become
becom%ing,becoming
becomeing,becoming
bEd,bed
bad,bed
bedrooM,bedroom
bedroon,bedroom
beE,bee
be,bee
bEEf,beef
beaf,beef
bEEn,been
ben,been
bin,been
bEEt,beet
beat,beet
beforE,before
befor,before
bEg,beg
bag,beg
begAn,began
begain,began
beggAr,beggar
begger,beggar
beGGed,begged
beged,begged
begIn,begin
begine,begin
begen,begin
begiNNing,beginning
begining,beginning
begin%s,begins
begines,begins
begUn,begun
begon,begun
begen,begun
behavE,behave
behavIOr,behavior
behavor,behavior
beHind,behind
behinD,behind
bEIng,being
belIEF,belief
believe,belief
beleif,belief
belIEve,believe
belive,believe
beleive,believe
bEll,bell
ball,bell
belONg,belong
belog,belong
blong,belong
bElow,below
beloW,below
blow,below
belowe,below
bELt,belt
balt,belt
bellt,belt
bEnd,bend
band,bend
benEAth,beneath
beneth,beneath
benEfit,benefit
benifit,benefit
bEnt,bent
bant,bent
beRRies,berries
berrIEs,berries
berrys,berries
berres,berries
bErry,berry
beRRy,berry
besiDE,beside
besid,beside
besidEs,besides
besids,besides
beside,besides
bast,best
bEt,bet
bat,bet
beat,bet
betTer,better
beter,better
betwEEn,between
betwen,between
beteen,between
beYond,beyond
beond,beyond
bibLE,bible
bibble,bible
bibel,bible
bIcycle,bicycle
biCYcle,bicycle
bycicle,bicycle
bId,bid
bed,bid
bIg,big
beg,big
bog,big
biGGer,bigger
biger,bigger
bigGest,biggest
bigest,biggest
bIll,bill
bil,bill
bell,bill
bIRd,bird
brid,bird
bIRds,birds
brids,birds
bIRth,birth
berth,birth
bIRthday,birthday
brithday,birthday
bisCuit,biscuit
biscUIt,biscuit
bisket,biscuit
biscut,biscuit
bit%,bit
bite,bit
bitE,bite
bit,bite
biTTer,bitter
blaCK,black
blak,black
blaME,blame
blam,blame
blaNk,blank
blak,blank
blankEt,blanket
blaZE,blaze
blase,blaze
blEEd,bleed
bled,bleed
blead,bleed
blESS,bless
blEW,blew
blue,blew
blow,blew
bliND,blind
bliZZard,blizzard
blizzArd,blizzard
blizard,blizzard
blOCK,block
blok,block
blak,block
blOOd,blood
blud,blood
blod,blood
blOOdy,bloody
bludy,bloody
blody,bloody
blOOm,bloom
bloSSom,blossom
blossoM,blossom
blosom,blossom
bloson,blossom
blossem,blossom
blOt,blot
blat,blot
bloW,blow
blo,blow
blOWing,blowing
bloing,blowing
blUE,blue
blew,blue
blow,blue
blufF,bluff
bluf,bluff
bOARd,board
bord,board
bOAt,boat
bot,boat
boDy,body
boddy,body
bode,body
bOIl,boil
bOnd,bond
bonD,bond
bound,bond
bOne,bone
bonE,bone
bon,bone
bOnfire,bonfire
bonfirE,bonfire
bonNet,bonnet
bonet,bonnet
bOOk,book
boak,book
booklEt,booklet
booklit,booklet
boklet,booklet
book%s,books
bookes,books
bOrder,border
boarder,border
boRE,bore
boar,bore
board,bore
bORn,born
bron,born
bOrrow,borrow
boRRow,borrow
barrow,borrow
brow,borrow
boSS,boss
boss%,boss
bose,boss
bOth,both
bothe,both
bOther,bother
barther,bother
borther,bother
boTTle,bottle
bottLE,bottle
bottel,bottle
botle,bottle
bottOM,bottom
botton,bottom
bOUGHt,bought
bout,bought
boght,bought
bOUnd,bound
bond,bound
boundAry,boundary
boundry,boundary
bOW,bow
boWL,bowl
bole,bowl
bOx,box
bax,box
boxEs,boxes
boxs,boxes
bOy,boy
bay,boy
boYS,boys
brAId,braid
braidE,braid
brade,braid
brad,braid
brAIn,brain
bran,brain
brin,brain
brakE,brake
brak,brake
brANCH,branch
brach,branch
branck,branch
branCHes,branches
branchs,branches
brances,branches
brAnd,brand
branD,brand
brend,brand
bran,brand
brASS,brass
bras,brass
bravE,brave
brav,brave
brEAd,bread
brad,bread
bred,bread
brade,bread
breaDth,breadth
breath,breadth
brEAK,break
break%,break
brake,break
brack,break
brEAkfast,breakfast
breakfAst,breakfast
breakfest,breakfast
brekfast,breakfast
brEAking,breaking
breaKing,breaking
braking,breaking
bracking,breaking
brEAst,breast
brest,breast
brEAth,breath
breth,breath
brath,breath
breathE,breathe
breath,breathe
brEEze,breeze
breeZe,breeze
breaze,breeze
brezze,breeze
briCk,brick
brik,brick
brak,brick
briDge,bridge
brige,bridge
brIEf,brief
breaf,brief
breif,brief
briGHT,bright
bright%,bright
brit,bright
brite,bright
bRing,bring
bing,bring
brOAd,broad
brod,broad
brode,broad
brOKE,broke
brok,broke
brock,broke
brOKEN,broken
brocken,broken
brooken,broken
brOOk,brook
brooK,brook
brock,brook
brOOm,broom
brom,broom
bROther,brother
brouther,brother
brOUght,brought
broght,brought
brot,brought
broWn,browm
broun,browm
bron,browm
brUIse,bruise
bruse,bruise
brUsh,brush
bruch,brush
bush,brush
bUCKet,bucket
buket,bucket
bUD,bud
bod,bud
but,bud
bUg,bug
big,bug
bUGGY,buggy
bugy,buggy
bUIld,build
bild,build
bUIlding,building
bilding,building
bulding,building
bUIldings,buildings
bildings,buildings
bUIlt,built
bilt,built
bult,built
bULL,bull
bool,bull
buLLet,bullet
bullEt,bullet
bulet,bullet
bullEtin,bulletin
bullitin,bulletin
buMp,bump
bunp,bump
bUNch,bunch
bUndle,bundle
bundLE,bundle
bundel,bundle
boundle,bundle
bUrden,burden
birden,burden
bUREAU,bureau
burglAr,burglar
burgler,burglar
buglar,burglar
buRied,buried
burried,buried
bURn,burn
brun,burn
birn,burn
bURned,burned
bruned,burned
burnd,burned
bURst,burst
bust,burst
bURY,bury
berry,bury
beary,bury
bUSh,bush
buch,bush
buSHel,bushel
bushEL,bushel
bushle,bushel
buSIness,business
bussiness,business
bUSy,busy
bussy,busy
buisy,busy
bisy,busy
buTCHer,butcher
bucher,butcher
bUtter,butter
butTer,butter
buter,butter
bUtton,button
buttOn,button
botton,button
bUy,buy
by,buy
bUying,buying
bying,buying
buZZ,buzz
buss,buzz
bY,by
biy,by
cabbAge,cabbage
cabbge,cabbage
caBIn,cabin
caben,cabin
cabbin,cabin
cabinET,cabinet
cabinetE,cabinet
cabinate,cabinet
cabLE,cable
caGE,cage
cag,cage
kage,cage
caKE,cake
cak,cake
calEndar,calendar
calendAr,calendar
calender,calendar
caLF,calf
caf,calf
calft,calf
cALL,call
col,call
coll,call
callEd,called
calld,called
caLLing,calling
colling,calling
cALm,calm
carm,calm
caME,came
cane,came
cam,came
kame,came
camEL,camel
camal,camel
Camp,camp
caMp,camp
canp,camp
kamp,camp
campAIGN,campaign
campain,campaign
camPHor,camphor
camphOR,camphor
camper,camphor
campher,camphor
camfer,camphor
cAn,can
con,can
canCEL,cancel
cansel,cancel
cancell,cancel
canDIDate,candidate
canidate,candidate
candiate,candidate
candLE,candle
candel,candle
candY,candy
cand,candy
kane,cane
came,cane
caNNed,canned
caned,canned
caNNon,cannon
canon,cannon
caNNot,cannot
cannOT,cannot
canot,cannot
cAnoe,canoe
CANOE,canoe
cAn't,can't
canvAS,canvas
canvis,canvas
kap,cap
cat,cap
capAble,capable
capeable,capable
cApacity,capacity
capaCity,capacity
capasity,capacity
compacity,capacity
kape,cape
capitAl,capital
capitol,capital
capitOl,capitol
capital,capitol
captAIn,captain
captian,captain
capitan,captain
capure,capture
cAr,car
car%,car
cor,car
cArd,card
kard,card
cord,card
carDS,cards
cars,cards
cARE,care
car,care
cear,care
cAREER,career
carreer,career
carEful,careful
carefuL,careful
carefull,careful
carful,careful
carEfully,carefully
carefuLLy,carefully
carefuly,carefully
carfully,carefully
carEless,careless
carless,careless
carpentEr,carpenter
carpentar,carpenter
carpEt,carpet
carpit,carpet
carrIAge,carriage
carrage,carriage
carrige,carriage
carrIEd,carried
carryed,carried
carred,carried
carrIEs,carries
carrys,carries
carrOt,carrot
carret,carrot
caRRy,carry
cary,carry
carrYing,carrying
carring,carrying
cARs,cars
kars,cars
cors,cars
cart%,cart
cartOOn,cartoon
cartoon%,cartoon
carton,cartoon
cartune,cartoon
caSE,case
cace,case
caSes,cases
casses,cases
caSH,cash
cach,cash
cashIEr,cashier
casher,cashier
Cast,cast
kast,cast
cAt,cat
cat%,cat
catAlog,catalog
catalOG,catalog
catologue,catalog
catar,catarrh
caTCH,catch
cach,catch
caTTle,cattle
cattLE,cattle
catle,cattle
cattel,cattle
cAUGHT,caught
cought,caught
cAUse,cause
couse,cause
course,cause
cAUsed,caused
cAUTion,caution
cortion,caution
causion,caution
Kave,cave
kave,cave
cEdar,cedar
cedAr,cedar
ceder,cedar
cEIling,ceiling
cieling,ceiling
celEbrate,celebrate
celabrate,celebrate
celEbration,celebration
celabration,celebration
cellAr,cellar
celler,cellar
CEMent,cement
sement,cement
cemment,cement
cemetEry,cemetery
cemetary,cemetery
Cent,cent
sent,cent
Center,center
senter,center
centrAl,central
centrel,central
centeral,central
Cents,cents
cenTS,cents
cens,cents
centURY,century
centery,century
centurey,century
cErtain,certain
certAIn,certain
curtain,certain
sertain,certain
Certainly,certainly
certAInly,certainly
certenly,certainly
cERtificate,certificate
citificate,certificate
chAIn,chain
chain%,chain
chane,chain
chAIr,chair
char,chair
chiar,chair
chAIrman,chairman
chairmAn,chairman
chairmen,chairman
chALk,chalk
chork,chalk
cHampion,champion
champIOn,champion
campion,champion
champian,champion
chanCE,chance
change,chance
chanch,chance
chanGE,change
chang,change
changEAble,changeable
changable,changeable
chanGed,changed
chaned,changed
chang%ing,changing
changeing,changing
chaNNel,channel
channEl,channel
channal,channel
chanel,channel
chapEL,chapel
chaple,chapel
chapal,chapel
cHapter,chapter
chaptEr,chapter
capter,chapter
cHaracter,character
charActer,character
charcter,character
caracter,character
chARge,charge
charGE,charge
chARGed,charged
charIty,charity
charaty,charity
chARM,charm
chaSe,chase
chace,chase
chauffEUr,chauffeur
chauffer,chauffeur
chEAp,cheap
cheep,cheap
chEAper,cheaper
cheper,cheaper
cheeper,cheaper
chEAt,cheat
cheet,cheat
chet,cheat
chECK,check
cheak,check
chack,check
cheCKed,checked
chEEk,cheek
chek,cheek
cheak,cheek
chEEr,cheer
chear,cheer
chEErful,cheerful
cheerfuL,cheerful
cheerfull,cheerful
chearful,cheerful
chEEse,cheese
cheesE,cheese
chease,cheese
chees,cheese
chErry,cherry
cheRRy,cherry
chery,cherry
cheery,cherry
cheRRies,cherries
cherrIEs,cherries
cherrys,cherries
cheres,cherries
chEst,chest
cheast,chest
chiCKen,chicken
chiken,chicken
chiCKens,chickens
chikens,chickens
chIEf,chief
cheif,chief
CHild,child
cild,child
chiLDren,children
childrEn,children
chimNEy,chimney
chimny,chimney
chimmy,chimney
chimmey,chimney
chIn,chin
chen,chin
chocOlate,chocolate
chocalate,chocolate
choclate,chocolate
chOICe,choice
chose,choice
choise,choice
CHoir,choir
chOIR,choir
quire,choir
chOOse,choose
chose,choose
CHop,chop
chOp,chop
cop,chop
chap,chop
chOse,chose
choose,chose
chOsen,chosen
choosen,chosen
crist,christ
christIAn,christian
christain,christian
christmis,christmas
cristmus,christmas
chUrch,church
chirch,church
cherch,church
cIrcle,circle
circLE,circle
circul,circle
sircul,circle
cIrcular,circular
cercular,circular
curcular,circular
CIrculation,circulation
curculation,circulation
cerculation,circulation
cIrcumstance,circumstance
curcumstance,circumstance
cIrcumstances,circumstances
circumstanCES,circumstances
cIrcus,circus
curcus,circus
Cistern,cistern
sistern,cistern
citIES,cities
citys,cities
cites,cities
citIZEn,citizen
citezen,citizen
citisen,citizen
City,city
citY,city
cite,city
civIL,civil
cival,civil
civilIZation,civilization
civilazation,civilization
civIlized,civilized
civalized,civilized
clAIm,claim
claimE,claim
clame,claim
clAp,clap
clap%,clap
klap,clap
clape,clap
claSS,class
clas,class
claSSES,classes
clAUSE,clause
claws,clause
clAY,clay
clEAn,clean
clen,clean
clEAned,cleaned
cleanED,cleaned
cleand,cleaned
clend,cleaned
clEAning,cleaning
clening,cleaning
clEAr,clear
clear%,clear
clErk,clerk
clark,clerk
cleark,clerk
clEver,clever
cleaver,clever
climATE,climate
climet,climate
climB,climb
clime,climb
clOAk,cloak
cloaK,cloak
clock,cloak
clOCK,clock
clok,clock
closE,close
clos,close
closED,closed
closd,closed
closELY,closely
closly,closely
cloSET,closet
clos%ing,closing
closeing,closing
cLOth,cloth
colth,cloth
clath,cloth
clothE,clothe
cloth,clothe
cloTHES,clothes
cloths,clothes
cLOTHing,clothing
clOUd,cloud
clowd,cloud
cloued,cloud
clOUdy,cloudy
clouDY,cloudy
clody,cloudy
cLOver,clover
clovER,clover
clOWn,clown
cloun,clown
clUb,club
clob,club
CO.,co.
comp.,co.
com,co.
cOAch,coach
coaCH,coach
couch,coach
cOAl,coal
coal%,coal
cole,coal
cool,coal
cOArse,coarse
course,coarse
cOAst,coast
cost,coast
cOAt,coat
cot,coat
cocOA,cocoa
coco,cocoa
coca,cocoa
coffEE,coffee
coffe,coffee
cOld,cold
cald,cold
coLLar,collar
collAR,collar
collor,collar
coLLect,collect
colleCt,collect
colect,collect
coLLection,collection
colection,collection
collEge,college
collage,college
curnel,colonel
coloNY,colony
coloney,colony
cOlor,color
colOr,color
coler,color
colar,color
colORed,colored
colerd,colored
colered,colored
cOlt,colt
colT,colt
cold,colt
colUMN,column
colum,column
colume,column
comB,comb
come,comb
combInation,combination
combanation,combination
cOME,come
com,come
cam,come
cOmes,comes
comES,comes
coms,comes
com%fort,comfort
comefort,comfort
confort,comfort
comfORtable,comfortable
comfertable,comfortable
coMical,comical
comicAL,comical
commical,comical
com%ing,coming
comeing,coming
coMMand,command
comand,command
coMMence,commence
commenCe,commence
comence,commence
commense,commence
coMMencement,commencement
commencEment,commencement
commencment,commencement
coMMerce,commerce
commerCe,commerce
comerce,commerce
coMMercial,commercial
comercial,commercial
coMMission,commission
commiSSion,commission
commision,commission
comMITTEE,committee
commity,committee
coMMon,common
commOn,common
comman,common
comon,common
commem,common
coMMunicate,communicate
comunicate,communicate
coMMunication,communication
comunication,communication
coMMunity,community
communIty,community
comunity,community
companIES,companies
companys,companies
compANIOn,companion
compAny,company
compeny,company
compy,company
compARE,compare
compair,compare
comparisOn,comparison
comparision,comparison
compEL,compel
compell,compel
compeLLed,compelled
compeled,compelled
coMplain,complain
complAIn,complain
complain%,complain
complane,complain
complAInt,complaint
complant,complaint
complETE,complete
compleat,complete
complEted,completed
compleated,completed
compleTELY,completely
completly,completely
compleXion,complexion
complextion,complexion
complection,complexion
complIment,compliment
complement,compliment
compLY,comply
compoSITION,composition
compostion,composition
compOUnd,compound
compond,compound
conCern,concern
consern,concern
conCerning,concerning
conserning,concerning
conCert,concert
consert,concert
conclUDE,conclude
conclud,conclude
conclued,conclude
condeMN,condemn
condem,condemn
condiTION,condition
